Tag,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Total,13570,10513,30193,54356,75894,94494,139694,157083,215697,296279,319576,337090,349527,450659,546873,684343,722749,771578
hi_res,964,1063,4072,9633,17072,28539,52974,67875,99012,149641,181654,203798,226450,314270,406620,530068,580908,626861
anthro,9985,7078,18629,32881,42110,53221,78346,94997,140939,204921,222867,216484,230599,334421,414877,522154,554939,596721
mammal,11124,8751,23765,42467,60233,76387,112487,123665,169456,230840,244364,249943,260277,342395,408456,500783,521801,552360
male,7086,4999,15344,29491,38061,48428,73976,81005,112696,162060,171627,178458,181394,247871,312184,387125,417420,454442
female,7893,6923,19555,30979,48712,59760,85519,96245,130930,172064,184478,185198,190178,249548,303696,387055,397167,411735
solo,8033,6202,15476,25604,34774,44028,64333,75416,102603,145097,158794,171659,181338,236702,287471,356158,364706,384762
genitals,5971,4839,14821,25584,32422,45185,71698,82897,115983,146841,163330,171339,174129,221188,277551,347600,362025,375936
clothing,5330,4200,10522,18077,24939,32841,49802,57985,85745,125889,141031,151117,158159,216375,257331,321517,346238,369678
fur,4635,3468,8649,12945,18473,27907,52472,60846,75338,101993,113233,112205,124954,170781,206790,260969,288417,311917
tail,7398,5998,16761,27866,39495,51617,42088,28899,38508,56764,67029,73092,71665,103820,132308,176146,261209,309190
hair,4886,3593,9038,14743,24764,39865,64991,70279,89178,109044,124665,127420,121703,156973,204056,266392,288194,305294
breasts,5263,4316,12644,21064,26916,34368,45883,57245,85410,105775,122490,128937,137763,175939,214529,268410,276954,283416
duo,4327,3504,10765,16438,23443,30563,47251,52803,76647,101967,108330,114400,116190,156211,195636,244597,252074,270052
penis,4442,3281,9927,18262,22718,30944,50767,58028,82524,104888,115133,120823,120916,152347,189224,232010,248589,262206
bodily_fluids,3277,2665,8397,14091,19066,26905,42899,49688,69549,88349,98448,104460,106291,138586,177974,226478,243101,260358
text,2568,1487,4890,8861,14664,18854,29619,32850,46058,66104,67427,75449,77804,112700,142609,189744,216005,240707
absurd_res,27,107,366,873,1899,4346,10686,13242,18874,30045,45202,55653,65773,101906,148388,205043,218791,238606
digital_media_(artwork),2645,1575,4693,8119,10590,15279,23391,30234,45877,64261,83337,114578,117606,128490,160243,213783,204167,230751
canid,4361,3894,10574,19261,21714,26060,36369,42493,58059,89016,93848,94547,101226,135677,160035,198647,205263,222862
canine,4342,3882,10525,19212,21564,25887,36087,42261,57673,88225,92597,93153,97569,129974,152933,189405,197699,215393
nipples,3655,2690,7968,14288,17994,24804,35809,41142,61556,77175,90032,90769,98344,126281,158463,199005,204050,200452
simple_background,4210,2337,4555,13420,18973,20903,32893,34576,54069,105340,103958,102916,99471,126430,142022,178990,183560,196906
2024,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,15,96,192039
clothed,4023,2752,6339,10312,13173,16799,25164,29228,48410,77639,88679,93302,93765,117943,140306,169692,182512,191744
butt,1675,1626,4386,6607,8932,14253,24950,29756,42745,58880,64655,72623,76469,102868,132052,168034,178763,191209
nude,6248,4261,11841,19720,22829,32441,49757,52613,72981,98760,102375,93902,92491,110976,139345,175490,179968,185798
balls,2463,1701,5277,9569,11715,17948,31135,35100,51360,67635,76110,80785,82928,105237,131309,160454,174904,185098
smile,1289,794,2582,4262,6794,12478,25221,30057,44654,74205,86004,86180,84665,96411,121388,156518,163865,183473
genital_fluids,2476,2106,6862,11415,14865,21419,33953,39236,54532,67448,74386,77683,77951,97856,125957,158602,168107,175468
blush,1514,1616,4754,6573,10866,16399,27840,34796,47720,61105,69489,76429,80234,102602,125986,155302,162512,168985
english_text,1542,970,3069,6056,10552,14212,21833,23461,32874,47605,48989,52824,52066,76617,99196,131311,150183,168579
sex,2726,2304,8114,13379,18323,24478,37530,40965,58411,68448,75732,79009,80394,100011,124216,151668,159219,165793
open_mouth,1882,1333,3781,6702,7760,13679,25913,32430,47625,63647,71233,79837,78870,95011,107278,140262,144359,156149
big_breasts,1185,689,2382,4903,7650,12200,16449,20051,36709,47125,50869,57296,64099,82656,107131,138359,147925,154366
looking_at_viewer,2141,1954,5361,8098,11615,18547,28718,34290,41436,60763,67151,71176,69733,84164,106558,139666,143517,151974
tongue,1998,1679,4771,7776,10006,14854,26598,30653,42265,56079,61842,65602,67246,83635,101107,125135,135470,143555
penetration,2084,1855,6154,10521,14142,19680,31268,34485,48463,53096,58745,62169,65291,81803,103258,127232,133879,138912
white_body,1580,1050,2879,4460,6046,8370,17243,18421,25406,35287,40702,39156,41608,64017,86358,118810,127202,138272
teeth,1224,1002,2771,3916,5266,8290,17314,20064,29839,47806,48074,53020,51139,69280,83851,108974,121378,137830
pussy,2092,2257,7466,11405,15298,22046,32389,37878,51462,61724,69847,70093,70971,86982,109861,138994,132988,131807
canis,1994,1637,4937,10487,11955,15042,20409,21565,28129,36782,42204,44608,49775,71460,87534,110753,117552,126278
felid,3231,2285,6434,10344,12667,15385,20098,20912,30547,43198,49563,49358,52382,69033,81909,102727,109778,121968
erection,3395,2479,7520,14068,17975,25748,43479,48835,69637,87928,86563,67876,61946,67643,88690,106115,109909,121566
thick_thighs,105,86,220,428,656,1221,2980,4556,7684,13710,22131,31492,32843,42162,64584,89796,101278,120284
male/female,1790,1529,5247,8187,11488,14137,20642,22775,32069,39436,45808,47048,46198,65969,86440,109313,113716,118087
topwear,1262,864,1760,3319,4450,5769,9050,10317,14740,23510,27388,30912,34743,58687,70871,91721,104981,115741
nintendo,612,941,3536,6235,8553,9484,17555,25882,33268,42982,45769,55809,60245,73398,84717,111580,113784,111656
scalie,1588,1090,3736,7217,9792,11501,18065,19406,29090,39602,45559,52542,51595,60090,75809,92745,99669,110686
cum,2110,1639,5674,9235,12087,16524,26191,29830,40695,49488,53567,55224,54117,65587,82326,101013,106167,110593
feet,1901,1320,3275,5226,6596,9846,15758,17831,22171,35338,41718,45246,49978,65340,77278,94042,100593,110383
penile,1683,1243,3973,6822,8816,12427,18841,20952,29598,35180,39741,43299,44234,62002,74831,91463,100298,110071
dialogue,705,476,1445,3202,5537,7973,11899,12242,16088,25216,27755,30972,32656,47572,64022,83695,98944,105759
horn,1252,990,2656,4581,10790,16715,27841,28325,35953,44513,48386,50675,47663,59045,76111,94132,100174,105573
fingers,1382,644,1267,2178,2596,2635,4775,5662,6841,18887,30981,35801,42986,62506,70996,81579,88929,102748
